Name,Age_Group,Gender,Geography,Education,Occupation,Caste,Voted_Party
Sunita Singh,50-59,Female,Rural,Not Gone to School,Housewife,General,NDA
Kavita Choudhary,60-69,Female,Rural,Graduate,Housewife,OBC,Others
Manju Paswan,70 & Above,Female,Rural,Not Gone to School,Student,EBC,MGB
Rajeev Paswan,40-49,Male,Rural,Not Gone to School,Others,SC,NDA
Mukesh Singh,50-59,Male,Rural,12th Pass,Housewife,Muslim,MGB
Abdul Mishra,30-39,Male,Urban,Upto 9th,Others,Muslim,MGB
Rekha Mishra,50-59,Female,Rural,Upto 9th,Student,Muslim,MGB
Fatima Choudhary,30-39,Female,Rural,Graduate,Farmer,Yadav,MGB
Pooja Paswan,30-39,Female,Rural,10th Pass,Skilled Professional,Muslim,MGB
Sunita Manjhi,50-59,Female,Rural,Not Gone to School,Housewife,EBC,MGB
Abdul Yadav,20-29,Male,Rural,Not Gone to School,Farmer,OBC,NDA
Manju Ali,40-49,Female,Rural,Not Gone to School,Housewife,General,JSP
Rahul Yadav,40-49,Male,Rural,10th Pass,Labour,OBC,MGB
Fatima Mishra,20-29,Female,Rural,12th Pass,Housewife,OBC,Others
Anita Khatoon,40-49,Female,Rural,Upto 9th,Labour,General,NDA
Sunita Ansari,40-49,Female,Rural,Graduate,Labour,General,NDA
Mukesh Ali,50-59,Male,Rural,12th Pass,Pvt. Service,SC,MGB
Rekha Ansari,30-39,Female,Rural,Not Gone to School,Unemployed,EBC,NDA
Rajeev Choudhary,30-39,Male,Rural,Graduate,Labour,Muslim,MGB
Vikash Ansari,20-29,Male,Rural,Upto 9th,Unemployed,EBC,NDA
Anita Manjhi,40-49,Female,Rural,Upto 9th,Farmer,EBC,MGB
Sunita Ansari,50-59,Female,Rural,Upto 9th,Others,EBC,NDA
Kavita Ansari,30-39,Female,Rural,Upto 9th,Farmer,OBC,Others
Sunita Kumar,30-39,Female,Rural,10th Pass,Unemployed,EBC,MGB
Rajeev Choudhary,50-59,Male,Rural,12th Pass,Student,Muslim,Others
Vikash Choudhary,40-49,Male,Urban,Not Gone to School,Unemployed,EBC,JSP
Pooja Singh,60-69,Female,Rural,10th Pass,Labour,General,JSP
Deepak Manjhi,30-39,Male,Rural,Graduate,Labour,General,NDA
Mohammad Mishra,50-59,Male,Rural,Upto 9th,Farmer,EBC,MGB
Mukesh Paswan,30-39,Male,Rural,12th Pass,Self Occupation & Small Shop,SC,Others
Ranjeet Yadav,30-39,Male,Rural,Graduate,Self Occupation & Small Shop,General,JSP
Sanjay Yadav,40-49,Male,Rural,Upto 9th,Farmer,Yadav,MGB
Rekha Mishra,30-39,Female,Urban,Upto 9th,Farmer,SC,NDA
Abdul Ali,20-29,Male,Rural,Not Gone to School,Housewife,OBC,JSP
Rekha Mishra,40-49,Female,Rural,Not Gone to School,Unemployed,EBC,Others
Mohammad Ali,40-49,Male,Rural,10th Pass,Labour,SC,NDA
Sanjay Ansari,20-29,Male,Rural,Graduate,Farmer,SC,MGB
Fatima Mishra,18-19,Female,Rural,Professional Education,Unemployed,EBC,NDA
Neha Mishra,30-39,Female,Rural,Upto 9th,Self Occupation & Small Shop,EBC,MGB
Amit Ali,40-49,Male,Rural,Upto 9th,Housewife,EBC,MGB
Neha Khatoon,20-29,Female,Rural,Graduate,Others,Muslim,MGB
Rahul Choudhary,40-49,Male,Rural,Upto 9th,Farmer,Yadav,MGB
Kavita Singh,30-39,Female,Rural,10th Pass,Self Occupation & Small Shop,SC,NDA
Priyanka Ali,70 & Above,Female,Urban,Upto 9th,Housewife,SC,NDA
Ranjeet Singh,40-49,Male,Rural,Graduate,Self Occupation & Small Shop,Yadav,MGB
Abdul Yadav,40-49,Male,Rural,Not Gone to School,Housewife,Muslim,MGB
Abdul Mishra,50-59,Male,Rural,10th Pass,Self Occupation & Small Shop,Yadav,MGB
Ranjeet Ali,50-59,Male,Rural,Upto 9th,Skilled Professional,EBC,NDA
Rahul Yadav,70 & Above,Male,Rural,12th Pass,Farmer,SC,MGB
Aisha Sharma,30-39,Female,Rural,Not Gone to School,Farmer,EBC,MGB
Manju Singh,50-59,Female,Rural,Not Gone to School,Self Occupation & Small Shop,Muslim,MGB
Ranjeet Mishra,20-29,Male,Rural,Graduate,Labour,Yadav,MGB
Fatima Paswan,50-59,Female,Rural,10th Pass,Pvt. Service,EBC,NDA
Pooja Paswan,50-59,Female,Rural,Not Gone to School,Labour,OBC,JSP
Neha Manjhi,60-69,Female,Rural,Graduate,Self Occupation & Small Shop,EBC,NDA
Kavita Kumar,50-59,Female,Rural,Upto 9th,Labour,OBC,NDA
Neha Yadav,40-49,Female,Rural,10th Pass,Skilled Professional,EBC,NDA
Abdul Singh,50-59,Male,Rural,Upto 9th,Housewife,Yadav,MGB
Rekha Khatoon,20-29,Female,Rural,Upto 9th,Skilled Professional,General,Others
Pooja Ali,70 & Above,Female,Rural,Not Gone to School,Labour,Muslim,NDA
Vikash Kumar,20-29,Male,Rural,10th Pass,Housewife,SC,NDA
Mohammad Ali,40-49,Male,Rural,Graduate,Farmer,General,Others
Pooja Khatoon,50-59,Female,Rural,Upto 9th,Farmer,EBC,NDA
Manju Manjhi,70 & Above,Female,Urban,Not Gone to School,Farmer,OBC,NDA
Aisha Mishra,30-39,Female,Rural,Graduate,Housewife,OBC,NDA
Aisha Manjhi,30-39,Female,Rural,10th Pass,Housewife,SC,Others
Fatima Sharma,20-29,Female,Urban,Upto 9th,Others,OBC,Others
Abdul Khatoon,40-49,Male,Rural,Not Gone to School,Housewife,SC,MGB
Deepak Khatoon,50-59,Male,Rural,Graduate,Farmer,General,NDA
Pooja Mishra,30-39,Female,Rural,Graduate,Housewife,SC,Others
Ranjeet Sharma,70 & Above,Male,Rural,Not Gone to School,Skilled Professional,Muslim,MGB
Rajeev Choudhary,50-59,Male,Rural,Upto 9th,Pvt. Service,OBC,NDA
Amit Yadav,30-39,Male,Rural,Graduate,Housewife,Muslim,MGB
Mohammad Mishra,40-49,Male,Rural,Upto 9th,Farmer,Yadav,MGB
Amit Khatoon,70 & Above,Male,Rural,Upto 9th,Housewife,OBC,NDA
Ranjeet Ali,60-69,Male,Rural,Not Gone to School,Skilled Professional,General,JSP
Aisha Paswan,40-49,Female,Rural,12th Pass,Unemployed,OBC,NDA
Neha Kumar,30-39,Female,Rural,12th Pass,Unemployed,General,NDA
Sanjay Ansari,60-69,Male,Rural,Graduate,Pvt. Service,SC,NDA
Pooja Mishra,50-59,Female,Rural,12th Pass,Pvt. Service,Muslim,MGB
Neha Mishra,30-39,Female,Rural,Upto 9th,Student,OBC,NDA
Vikash Mishra,30-39,Male,Rural,Upto 9th,Farmer,EBC,Others
Manju Manjhi,40-49,Female,Rural,Upto 9th,Skilled Professional,General,NDA
Rahul Yadav,30-39,Male,Urban,Not Gone to School,Pvt. Service,Muslim,NDA
Anita Kumar,40-49,Female,Rural,Upto 9th,Farmer,General,Others
Manju Sharma,40-49,Female,Rural,Not Gone to School,Pvt. Service,EBC,NDA
Fatima Manjhi,40-49,Female,Rural,12th Pass,Pvt. Service,EBC,Others
Manju Kumar,40-49,Female,Rural,Not Gone to School,Housewife,SC,NDA
Rajeev Ali,30-39,Male,Rural,10th Pass,Farmer,General,Others
Abdul Sharma,30-39,Male,Rural,Upto 9th,Unemployed,ST,MGB
Pooja Paswan,50-59,Female,Rural,Graduate,Student,Yadav,MGB
Rekha Paswan,30-39,Female,Rural,10th Pass,Farmer,SC,NDA
Aisha Mishra,30-39,Female,Rural,Post-Graduate,Farmer,EBC,NDA
Sanjay Ali,50-59,Male,Rural,12th Pass,Skilled Professional,General,NDA
Vikash Ali,30-39,Male,Rural,Upto 9th,Labour,General,Others
Abdul Kumar,30-39,Male,Rural,Post-Graduate,Farmer,General,NDA
Amit Paswan,20-29,Male,Rural,Not Gone to School,Skilled Professional,General,NDA
Fatima Manjhi,30-39,Female,Rural,Professional Education,Labour,Muslim,MGB
Fatima Paswan,50-59,Female,Rural,Upto 9th,Farmer,SC,MGB
Amit Choudhary,40-49,Male,Rural,12th Pass,Farmer,OBC,NDA
Rekha Khatoon,20-29,Female,Rural,Not Gone to School,Labour,SC,MGB
Priyanka Manjhi,30-39,Female,Rural,Graduate,Self Occupation & Small Shop,General,NDA
Deepak Mishra,50-59,Male,Rural,Not Gone to School,Unemployed,Muslim,MGB
Mohammad Paswan,70 & Above,Male,Rural,12th Pass,Labour,SC,NDA
Abdul Paswan,20-29,Male,Rural,Not Gone to School,Housewife,Yadav,MGB
Amit Ansari,20-29,Male,Rural,Not Gone to School,Housewife,Muslim,Others
Abdul Khatoon,50-59,Male,Rural,Graduate,Self Occupation & Small Shop,EBC,MGB
Sanjay Ali,30-39,Male,Rural,12th Pass,Self Occupation & Small Shop,General,NDA
Manju Paswan,60-69,Female,Rural,Upto 9th,Labour,Yadav,MGB
Neha Singh,60-69,Female,Rural,Not Gone to School,Housewife,OBC,JSP
Rekha Ali,40-49,Female,Rural,Not Gone to School,Farmer,EBC,NDA
Amit Ansari,50-59,Male,Urban,Not Gone to School,Farmer,General,NDA
Vikash Yadav,40-49,Male,Rural,Not Gone to School,Farmer,General,NDA
Priyanka Yadav,20-29,Female,Rural,Not Gone to School,Housewife,EBC,NDA
Kavita Sharma,50-59,Female,Rural,10th Pass,Unemployed,SC,NDA
Mukesh Ali,60-69,Male,Rural,12th Pass,Housewife,OBC,NDA
Ranjeet Ansari,60-69,Male,Rural,10th Pass,Pvt. Service,General,NDA
Sanjay Manjhi,50-59,Male,Rural,Upto 9th,Pvt. Service,EBC,NDA
Mukesh Ansari,60-69,Male,Rural,Not Gone to School,Unemployed,General,MGB
Rahul Sharma,30-39,Male,Rural,10th Pass,Unemployed,EBC,MGB
Fatima Khatoon,30-39,Female,Rural,Graduate,Housewife,Muslim,MGB
Rahul Yadav,20-29,Male,Rural,Graduate,Farmer,SC,JSP
Rahul Manjhi,30-39,Male,Rural,Upto 9th,Labour,Yadav,MGB
Mukesh Kumar,60-69,Male,Rural,10th Pass,Student,EBC,Others
Rekha Kumar,40-49,Female,Rural,Upto 9th,Labour,Yadav,MGB
Sanjay Singh,20-29,Male,Rural,Upto 9th,Pvt. Service,Yadav,MGB
Fatima Khatoon,40-49,Female,Rural,Not Gone to School,Housewife,EBC,MGB
Sunita Ali,40-49,Female,Urban,10th Pass,Unemployed,EBC,NDA
Manju Manjhi,30-39,Female,Rural,10th Pass,Labour,EBC,NDA
Mukesh Mishra,60-69,Male,Rural,Upto 9th,Pvt. Service,Muslim,MGB
Rahul Ali,40-49,Male,Urban,Graduate,Labour,EBC,NDA
Abdul Kumar,40-49,Male,Rural,Graduate,Farmer,General,NDA
Rahul Sharma,60-69,Male,Urban,Not Gone to School,Student,SC,NDA
Rekha Singh,70 & Above,Female,Urban,10th Pass,Pvt. Service,General,MGB
Deepak Mishra,40-49,Male,Rural,Upto 9th,Housewife,Yadav,MGB
Amit Ali,40-49,Male,Rural,Not Gone to School,Housewife,EBC,NDA
Anita Ansari,60-69,Female,Rural,12th Pass,Student,EBC,Others
Kavita Singh,40-49,Female,Urban,Upto 9th,Skilled Professional,OBC,NDA
Rajeev Paswan,20-29,Male,Urban,Upto 9th,Housewife,Yadav,MGB
Anita Paswan,20-29,Female,Rural,10th Pass,Pvt. Service,SC,MGB
Deepak Ali,20-29,Male,Rural,Not Gone to School,Pvt. Service,OBC,MGB
Fatima Singh,50-59,Female,Rural,Upto 9th,Student,OBC,Others
Fatima Choudhary,20-29,Female,Rural,12th Pass,Skilled Professional,General,NDA
Vikash Yadav,40-49,Male,Urban,Graduate,Farmer,OBC,NDA
Priyanka Manjhi,40-49,Female,Rural,12th Pass,Others,SC,Others
Ranjeet Manjhi,30-39,Male,Rural,Not Gone to School,Pvt. Service,Muslim,MGB
Vikash Sharma,40-49,Male,Urban,12th Pass,Housewife,Yadav,MGB
Mukesh Ansari,40-49,Male,Rural,12th Pass,Farmer,Muslim,NDA
Priyanka Ansari,20-29,Female,Rural,Professional Education,Farmer,SC,MGB
Aisha Khatoon,50-59,Female,Rural,10th Pass,Labour,Muslim,Others
Mukesh Singh,20-29,Male,Rural,10th Pass,Unemployed,SC,NDA
Aisha Kumar,30-39,Female,Rural,10th Pass,Others,General,NDA
Sunita Ali,30-39,Female,Rural,12th Pass,Student,Muslim,MGB
Mohammad Paswan,18-19,Male,Rural,10th Pass,Housewife,SC,NDA
Sanjay Singh,30-39,Male,Rural,10th Pass,Skilled Professional,Muslim,MGB
Rajeev Paswan,30-39,Male,Urban,12th Pass,Labour,General,NDA
Anita Choudhary,40-49,Female,Rural,10th Pass,Self Occupation & Small Shop,EBC,NDA
Manju Manjhi,70 & Above,Female,Rural,12th Pass,Labour,SC,MGB
Rahul Mishra,40-49,Male,Rural,10th Pass,Others,Yadav,NDA
Rekha Paswan,50-59,Female,Rural,12th Pass,Housewife,Muslim,MGB
Rekha Choudhary,18-19,Female,Rural,Graduate,Pvt. Service,SC,MGB
Anita Singh,40-49,Female,Rural,Upto 9th,Others,Yadav,MGB
Manju Choudhary,20-29,Female,Rural,Not Gone to School,Housewife,EBC,NDA
Deepak Singh,60-69,Male,Rural,Not Gone to School,Housewife,Yadav,MGB
Vikash Manjhi,50-59,Male,Rural,Graduate,Labour,SC,NDA
Anita Sharma,50-59,Female,Rural,10th Pass,Housewife,EBC,MGB
Kavita Singh,30-39,Female,Urban,Graduate,Farmer,OBC,NDA
Abdul Ansari,30-39,Male,Rural,Post-Graduate,Pvt. Service,SC,JSP
Sunita Manjhi,50-59,Female,Urban,10th Pass,Housewife,Yadav,NDA
Rahul Singh,40-49,Male,Rural,10th Pass,Housewife,Yadav,MGB
Anita Mishra,20-29,Female,Rural,10th Pass,Skilled Professional,General,NDA
Sanjay Yadav,20-29,Male,Rural,Not Gone to School,Student,General,NDA
Mukesh Mishra,70 & Above,Male,Rural,Not Gone to School,Pvt. Service,SC,NDA
Sanjay Kumar,50-59,Male,Rural,10th Pass,Skilled Professional,Muslim,MGB
Anita Yadav,20-29,Female,Rural,Upto 9th,Farmer,SC,NDA
Priyanka Manjhi,18-19,Female,Rural,Not Gone to School,Farmer,SC,Others
Pooja Ali,60-69,Female,Rural,Not Gone to School,Housewife,EBC,NDA
Vikash Ansari,20-29,Male,Rural,Upto 9th,Farmer,General,NDA
Pooja Kumar,30-39,Female,Rural,Not Gone to School,Labour,General,NDA
Mukesh Yadav,60-69,Male,Rural,12th Pass,Farmer,General,NDA
Manju Singh,40-49,Female,Urban,Upto 9th,Unemployed,EBC,NDA
Rekha Yadav,30-39,Female,Rural,Not Gone to School,Pvt. Service,General,Others
Priyanka Paswan,20-29,Female,Rural,Upto 9th,Labour,Muslim,MGB
Vikash Choudhary,50-59,Male,Rural,Upto 9th,Farmer,Yadav,MGB
Ranjeet Singh,50-59,Male,Urban,12th Pass,Others,Yadav,MGB
Rahul Khatoon,30-39,Male,Urban,Graduate,Housewife,General,NDA
Mukesh Ansari,20-29,Male,Rural,10th Pass,Farmer,Muslim,NDA
Neha Ali,50-59,Female,Rural,Graduate,Unemployed,EBC,MGB
Vikash Yadav,50-59,Male,Rural,Not Gone to School,Farmer,OBC,MGB
Sanjay Yadav,50-59,Male,Rural,Upto 9th,Skilled Professional,General,NDA
Aisha Kumar,70 & Above,Female,Rural,Not Gone to School,Pvt. Service,SC,NDA
Deepak Kumar,40-49,Male,Rural,Upto 9th,Student,OBC,JSP
Fatima Kumar,20-29,Female,Rural,Graduate,Skilled Professional,EBC,NDA
Aisha Ansari,50-59,Female,Rural,Post-Graduate,Skilled Professional,EBC,MGB
Ranjeet Kumar,30-39,Male,Urban,Not Gone to School,Self Occupation & Small Shop,SC,Others
Rahul Yadav,20-29,Male,Rural,Upto 9th,Farmer,ST,NDA
Ranjeet Paswan,40-49,Male,Rural,Not Gone to School,Student,General,NDA
Neha Ali,50-59,Female,Urban,12th Pass,Labour,EBC,NDA
Pooja Yadav,30-39,Female,Rural,Not Gone to School,Labour,General,Others
Amit Ansari,60-69,Male,Rural,Not Gone to School,Skilled Professional,Muslim,MGB
Rekha Singh,30-39,Female,Rural,Upto 9th,Housewife,Muslim,MGB
Amit Kumar,20-29,Male,Rural,12th Pass,Labour,General,JSP
Vikash Khatoon,30-39,Male,Rural,Not Gone to School,Farmer,General,MGB
Manju Singh,20-29,Female,Rural,12th Pass,Student,Yadav,MGB
Priyanka Manjhi,20-29,Female,Rural,Upto 9th,Housewife,OBC,NDA
Priyanka Paswan,40-49,Female,Rural,Not Gone to School,Housewife,SC,MGB
Rekha Choudhary,40-49,Female,Rural,Upto 9th,Housewife,Muslim,MGB
Aisha Khatoon,20-29,Female,Rural,Graduate,Labour,EBC,NDA
Abdul Choudhary,20-29,Male,Rural,10th Pass,Skilled Professional,EBC,MGB
Aisha Yadav,60-69,Female,Rural,12th Pass,Labour,Yadav,NDA
Rekha Ali,40-49,Female,Rural,12th Pass,Housewife,EBC,MGB
Rekha Paswan,50-59,Female,Rural,Graduate,Unemployed,EBC,NDA
Manju Yadav,60-69,Female,Rural,Graduate,Others,EBC,Others
Mohammad Paswan,30-39,Male,Rural,Not Gone to School,Housewife,General,NDA
Kavita Sharma,50-59,Female,Rural,Graduate,Labour,EBC,NDA
Fatima Yadav,60-69,Female,Rural,Not Gone to School,Labour,Muslim,MGB
Abdul Sharma,40-49,Male,Rural,Post-Graduate,Self Occupation & Small Shop,General,NDA
Pooja Khatoon,40-49,Female,Rural,Upto 9th,Housewife,EBC,NDA
Rajeev Sharma,20-29,Male,Rural,12th Pass,Labour,SC,MGB
Kavita Ansari,20-29,Female,Rural,Not Gone to School,Housewife,Yadav,MGB
Anita Singh,40-49,Female,Rural,Not Gone to School,Labour,Yadav,NDA
Rahul Sharma,30-39,Male,Rural,12th Pass,Unemployed,General,MGB
Rajeev Mishra,20-29,Male,Rural,Post-Graduate,Housewife,EBC,NDA
Rahul Manjhi,40-49,Male,Rural,Not Gone to School,Pvt. Service,EBC,NDA
Rekha Kumar,20-29,Female,Rural,10th Pass,Pvt. Service,Yadav,MGB
Neha Ansari,50-59,Female,Rural,Not Gone to School,Housewife,SC,MGB
Vikash Sharma,50-59,Male,Rural,10th Pass,Farmer,Muslim,MGB
Sanjay Singh,20-29,Male,Rural,Upto 9th,Housewife,SC,NDA
Rahul Sharma,30-39,Male,Rural,Not Gone to School,Farmer,SC,NDA
Mohammad Khatoon,50-59,Male,Rural,Not Gone to School,Others,EBC,NDA
Abdul Mishra,20-29,Male,Urban,Upto 9th,Farmer,OBC,MGB
Sunita Choudhary,40-49,Female,Rural,Graduate,Farmer,General,NDA
Pooja Kumar,20-29,Female,Rural,Upto 9th,Farmer,EBC,NDA
Neha Choudhary,60-69,Female,Rural,10th Pass,Student,Yadav,MGB
Vikash Choudhary,40-49,Male,Rural,Upto 9th,Housewife,EBC,Others
Deepak Ali,20-29,Male,Urban,12th Pass,Others,SC,MGB
Abdul Yadav,70 & Above,Male,Urban,Graduate,Pvt. Service,EBC,NDA
Aisha Paswan,30-39,Female,Rural,Graduate,Farmer,SC,Others
Pooja Choudhary,30-39,Female,Rural,Upto 9th,Labour,EBC,NDA
Sanjay Paswan,40-49,Male,Rural,12th Pass,Farmer,EBC,NDA
Sunita Manjhi,50-59,Female,Rural,10th Pass,Pvt. Service,EBC,Others
Anita Sharma,60-69,Female,Rural,Graduate,Govt. Service,OBC,NDA
Kavita Paswan,40-49,Female,Rural,12th Pass,Farmer,EBC,NDA
Rajeev Mishra,40-49,Male,Urban,Not Gone to School,Student,EBC,MGB
Vikash Ali,18-19,Male,Rural,Post-Graduate,Labour,EBC,NDA
Rekha Ali,40-49,Female,Rural,Upto 9th,Housewife,EBC,JSP
Ranjeet Sharma,20-29,Male,Rural,Not Gone to School,Others,Muslim,MGB
Deepak Ali,60-69,Male,Rural,Upto 9th,Housewife,General,NDA
Deepak Sharma,20-29,Male,Rural,Upto 9th,Farmer,OBC,NDA
Vikash Choudhary,50-59,Male,Rural,Upto 9th,Unemployed,OBC,NDA
Mohammad Khatoon,30-39,Male,Rural,Not Gone to School,Pvt. Service,OBC,NDA
Rajeev Ali,30-39,Male,Urban,Not Gone to School,Self Occupation & Small Shop,General,NDA
Fatima Manjhi,20-29,Female,Rural,Not Gone to School,Skilled Professional,General,NDA
Rahul Khatoon,70 & Above,Male,Rural,Not Gone to School,Pvt. Service,Yadav,MGB
Rajeev Paswan,30-39,Male,Rural,Not Gone to School,Housewife,SC,MGB
Deepak Paswan,40-49,Male,Rural,Upto 9th,Labour,EBC,NDA
Abdul Ali,30-39,Male,Urban,Upto 9th,Student,SC,MGB
Vikash Manjhi,20-29,Male,Rural,10th Pass,Self Occupation & Small Shop,Yadav,MGB
Sanjay Ali,18-19,Male,Rural,10th Pass,Labour,EBC,NDA
Abdul Kumar,50-59,Male,Rural,Graduate,Student,SC,Others
Mohammad Sharma,60-69,Male,Rural,Upto 9th,Self Occupation & Small Shop,Muslim,MGB
Neha Sharma,30-39,Female,Rural,10th Pass,Self Occupation & Small Shop,OBC,NDA
Fatima Kumar,50-59,Female,Rural,Upto 9th,Pvt. Service,Yadav,MGB
Deepak Choudhary,40-49,Male,Rural,Not Gone to School,Labour,Yadav,NDA
Manju Manjhi,60-69,Female,Rural,Not Gone to School,Housewife,SC,Others
Amit Manjhi,40-49,Male,Rural,10th Pass,Pvt. Service,Yadav,MGB
Anita Ansari,20-29,Female,Rural,Graduate,Student,EBC,Others
Rajeev Kumar,30-39,Male,Rural,10th Pass,Housewife,SC,MGB
Sunita Singh,20-29,Female,Rural,Graduate,Others,EBC,MGB
Mohammad Ansari,30-39,Male,Rural,10th Pass,Farmer,General,NDA
Sanjay Yadav,70 & Above,Male,Rural,Not Gone to School,Unemployed,OBC,NDA
Deepak Ansari,20-29,Male,Rural,10th Pass,Pvt. Service,Muslim,MGB
Manju Paswan,18-19,Female,Rural,Not Gone to School,Labour,Muslim,Others
Neha Ali,20-29,Female,Rural,10th Pass,Housewife,OBC,NDA
Manju Ansari,40-49,Female,Rural,Upto 9th,Self Occupation & Small Shop,Muslim,Others
Amit Paswan,60-69,Male,Rural,12th Pass,Labour,General,MGB
Anita Singh,40-49,Female,Urban,Not Gone to School,Farmer,General,JSP
Aisha Sharma,30-39,Female,Rural,10th Pass,Skilled Professional,EBC,MGB
Mohammad Choudhary,20-29,Male,Rural,10th Pass,Housewife,EBC,Others
Priyanka Choudhary,30-39,Female,Rural,Not Gone to School,Farmer,General,NDA
Rekha Ansari,30-39,Female,Rural,Graduate,Others,Yadav,NDA
Amit Sharma,40-49,Male,Urban,12th Pass,Unemployed,Muslim,MGB
Vikash Singh,50-59,Male,Rural,Graduate,Housewife,EBC,Others
Pooja Ali,70 & Above,Female,Rural,Graduate,Labour,SC,NDA
Ranjeet Mishra,30-39,Male,Rural,Graduate,Unemployed,SC,Others
Rajeev Mishra,30-39,Male,Rural,10th Pass,Housewife,Muslim,MGB
Neha Paswan,40-49,Female,Rural,Not Gone to School,Unemployed,SC,NDA
Rahul Sharma,30-39,Male,Rural,10th Pass,Pvt. Service,Yadav,MGB
Pooja Singh,50-59,Female,Rural,Not Gone to School,Others,OBC,NDA
Mohammad Kumar,50-59,Male,Rural,10th Pass,Unemployed,SC,NDA
Priyanka Sharma,30-39,Female,Rural,10th Pass,Pvt. Service,Muslim,MGB
Vikash Paswan,20-29,Male,Rural,Upto 9th,Labour,OBC,MGB
Sanjay Singh,50-59,Male,Rural,Not Gone to School,Pvt. Service,EBC,NDA
Kavita Ali,40-49,Female,Rural,12th Pass,Farmer,SC,NDA
Priyanka Choudhary,30-39,Female,Rural,10th Pass,Pvt. Service,Muslim,MGB
Vikash Yadav,40-49,Male,Rural,10th Pass,Housewife,Muslim,JSP
Ranjeet Yadav,30-39,Male,Rural,Upto 9th,Labour,General,MGB
